tourney_name,round,winner_name,loser_name,score,surface,year
Roland Garros,R128,Andre Agassi,Antony Dupuis,7-6(7) 6-3 6-4,Clay,2000
Roland Garros,R128,Karol Kucera,Oscar Serrano,6-1 6-2 6-1,Clay,2000
Roland Garros,R128,Jiri Vanek,Alberto Berasategui,6-1 6-1 6-7(5) 5-7 6-1,Clay,2000
Roland Garros,R128,Franco Squillari,Alexander Popp,3-6 6-3 6-2 6-0,Clay,2000
Roland Garros,R128,Nicolas Massu,Jacobo Diaz,6-4 6-3 6-3,Clay,2000
Roland Garros,R128,Jason Stoltenberg,Jiri Novak,6-4 6-3 3-6 6-1,Clay,2000
Roland Garros,R128,Juan Ignacio Chela,Todd Martin,4-6 6-3 6-4 6-4,Clay,2000
Roland Garros,R128,Younes El Aynaoui,Jean Rene Lisnard,3-6 2-6 6-4 6-3 6-1,Clay,2000
Roland Garros,R128,Lleyton Hewitt,Jeff Tarango,7-6(5) 7-6(3) 6-3,Clay,2000
Roland Garros,R128,Markus Hantschk,David Prinosil,6-2 6-7(7) 7-6(5) 6-4,Clay,2000
Roland Garros,R128,Attila Savolt,Martin Rodriguez,3-6 3-6 6-4 6-4 6-2,Clay,2000
Roland Garros,R128,Stefan Koubek,Galo Blanco,6-3 1-6 7-6(5) 6-2,Clay,2000
Roland Garros,R128,Albert Costa,Goran Ivanisevic,6-3 6-3 6-0,Clay,2000
Roland Garros,R128,Hernan Gumy,Carlos Moya,7-6(4) 6-2 4-6 3-6 6-3,Clay,2000
Roland Garros,R128,Gaston Gaudio,Arnaud Di Pasquale,6-2 6-3 6-2,Clay,2000
Roland Garros,R128,Thomas Enqvist,Christophe Rochus,6-2 6-0 6-0,Clay,2000
Roland Garros,R128,Magnus Norman,Thierry Guardiola,6-4 6-4 6-0,Clay,2000
Roland Garros,R128,Fabrice Santoro,Magnus Gustafsson,6-3 3-6 6-4 6-4,Clay,2000
Roland Garros,R128,Sargis Sargsian,Sjeng Schalken,5-7 3-6 7-6(1) 6-3 6-2,Clay,2000
